timestamp,open,high,low,close,volume,rsi,ema_10,ema_20,macd,macd_signal,bb_high,bb_low,bb_mid,return_1,return_3,vol_change,future_close,target
2026-01-30 21:00:00,2680.72,2715.09,2677.6,2704.93,27224.9129,38.26346581572239,2722.2963867885924,2742.2289829653387,-29.763047121286945,-31.580842611556967,2766.4856583063765,2697.216341693623,2731.8509999999997,0.009031155808887137,-0.012896539392103779,-0.5904804349239553,2709.92,1
2026-01-30 22:00:00,2704.94,2709.92,2693.21,2709.92,12130.3423,39.60123328840063,2720.046134645212,2739.15193696864,-28.828612527451696,-31.03039659473591,2766.3550359972955,2694.682964002704,2730.519,0.0018447797170353386,-0.011843640606767791,-0.554439628712274,2707.38,0
2026-01-30 23:00:00,2709.91,2711.86,2694.59,2707.38,8476.1777,39.136357800449126,2717.7432010733555,2736.1260382097216,-27.970595537667123,-30.418436383322152,2765.6766739627783,2691.9883260372217,2728.8325,-0.0009372970419790905,0.009945089378972982,-0.30124167229806864,2706.48,0
2026-01-31 00:00:00,2707.37,2714.64,2703.27,2706.48,7010.5456,38.96183154271423,2715.695346332745,2733.3026059992717,-27.051401650654498,-29.745029436788624,2762.826020416298,2690.187979583702,2726.507,-0.0003324247058041907,0.0005730277678166473,-0.1729119128779001,2700.0,0
2026-01-31 01:00:00,2706.47,2714.53,2699.13,2700.0,8314.5512,37.65964334997881,2712.8416469995186,2730.1309292374362,-26.53988049529562,-29.103999648490024,2760.9436340092625,2687.3683659907374,2724.156,-0.002394253790901857,-0.003660624667886858,0.1860062931478541,2702.05,1
2026-01-31 02:00:00,2700.0,2708.64,2684.67,2702.05,11096.2378,38.36150250823415,2710.8795293632425,2727.4565550243474,-25.673134513230252,-28.41782662143807,2761.3051786556443,2685.3558213443557,2723.3305,0.0007592592592593483,-0.0019686929799288544,0.33455643402616864,2695.86,0
2026-01-31 03:00:00,2702.04,2706.47,2694.72,2695.86,5186.1379,37.00668035634573,2708.148705842653,2724.4473593077428,-25.195277866161632,-27.773316870382786,2760.0607253684507,2682.170274631549,2721.1155,-0.002290853241057711,-0.003923915935089117,-0.5326219576873163,2695.66,0
2026-01-31 04:00:00,2695.86,2704.82,2693.0,2695.66,5813.7768,36.961259274998646,2705.878032053079,2721.705706040339,-24.54971749747665,-27.128596995801562,2758.7214223285764,2679.3325776714228,2719.0269999999996,-7.418782874490937e-05,-0.0016074074074075018,0.1210224086019771,2698.05,1
2026-01-31 05:00:00,2695.66,2703.47,2690.8,2698.05,7984.3101,37.94149658145016,2704.454753497974,2719.452781655545,-23.573512450814633,-26.41758008680418,2758.5302486047817,2677.1357513952184,2717.833,0.0008866103291960137,-0.0014803575063377927,0.37334307364534536,2692.9,0
2026-01-31 06:00:00,2698.05,2701.0,2684.14,2692.9,11530.8432,36.620088087169364,2702.3538892256147,2716.923945307398,-22.950861631341013,-25.724236395711547,2756.8323289156806,2674.50467108432,2715.6685,-0.0019087859750560598,-0.0010979798654232598,0.4441877952611084,2680.06,0
2026-01-31 07:00:00,2692.91,2693.81,2668.2,2680.06,11148.3585,33.48852520358767,2698.3004548209574,2713.41309337336,-23.225755016296716,-25.224540119828582,2750.3221658026605,2673.032834197339,2711.6775,-0.0047680938764901315,-0.005787079972993547,-0.033170575071214126,2644.03,0
2026-01-31 08:00:00,2680.06,2683.49,2609.85,2644.03,65964.1615,26.61157030064723,2688.433099398965,2706.805179718754,-26.050634391788662,-25.3897589742206,2753.217952190268,2660.4910478097318,2706.8545,-0.013443728871741611,-0.020021867645151126,4.916939386188559,2648.35,1
2026-01-31 09:00:00,2644.02,2659.8,2633.71,2648.35,17355.9275,28.50725580740314,2681.1452631446077,2701.2380197455395,-27.62237026270941,-25.836281231918367,2754.350240993652,2651.193759006348,2702.772,0.0016338695098012668,-0.016543503286419958,-0.7368885299936694,2651.67,1
2026-01-31 10:00:00,2648.35,2655.7,2636.54,2651.67,8989.4318,30.003673934406166,2675.7861243910424,2696.51725596025,-28.274159104454156,-26.323856806425525,2752.047270830113,2644.921729169887,2698.4845,0.0012536107387619566,-0.010593046424333785,-0.482054082099617,2640.72,0
2026-01-31 11:00:00,2651.66,2651.67,2634.69,2640.72,9642.074,27.92741083392501,2669.410465410853,2691.203231583084,-29.33611151203786,-26.926307747547995,2751.1918339222293,2636.9021660777707,2694.047,-0.004129473124483973,-0.0012518768697784566,0.07260105138124517,2633.55,0
2026-01-31 12:00:00,2640.72,2644.43,2628.63,2633.55,15841.5884,26.628029288329415,2662.8903807906977,2685.71244762279,-30.40577665744331,-27.62220152952706,2750.151511731789,2628.6014882682107,2689.3765,-0.0027151685903843426,-0.005588385220986591,0.6429648227134535,2629.14,0
2026-01-31 13:00:00,2633.55,2636.97,2618.0,2629.14,19347.5696,25.83193043179564,2656.7539479196616,2680.3245954682384,-31.24912368979858,-28.347585961581366,2750.341732700757,2620.072267299243,2685.207,-0.0016745457652219686,-0.008496532373937993,0.2213150039929075,2538.69,0
2026-01-31 14:00:00,2629.14,2636.16,2510.01,2538.69,151198.8755,15.558003052316053,2635.287775570632,2666.8355863760253,-38.769134912415666,-30.43189575174823,2761.8646583631103,2588.391341636889,2675.1279999999997,-0.034402884593441097,-0.03863718985731157,6.814876939375373,2534.2,0
2026-01-31 15:00:00,2538.69,2554.89,2526.38,2534.2,39821.6242,15.2340971928828,2616.908180012335,2654.2036257687846,-44.57724473170356,-33.260965547739296,2765.499006861406,2563.9369931385936,2664.718,-0.0017686287022047331,-0.037724744166619306,-0.7366275108309255,2482.71,0
